3382719,3
3437082,3
3437166,2
3437659,3
3443596,2
3468467,3
3482284,3
3493187,3
3494543,3
3500219,3
3501063,3
3507143,3
3509147,3
3514758,3
3533459,2
3537995,3
3556730,3
3564151,1
3575942,3
3580889,3
3585501,3
3601542,2
3602887,2
3608301,3
3613835,3
3619811,3
3625334,3
3633825,3
3642597,3
3665638,3
3678090,3
3686051,3
3717369,3
3724381,3
3726711,3
3728147,3
3728267,2
3744128,3
3746735,3
3755421,3
3781252,3
3786079,2
3814257,2
3814355,3
3816018,3
3817514,3
3827232,3
3828723,3
3836206,3
3838610,3
3841757,3
3844446,3
3853232,3
3856006,3
3861084,1
3877945,3
3880352,3
3881831,3
3888781,3
3892585,3
3894533,3
3898965,2
3914598,3
3923115,1
3929751,2
3934978,2
3952681,3
3968079,3
3978512,3
3986764,3
3993219,3
3995795,3
3996085,2
3997018,2
4029536,3
4074546,3
4053694,1
4057475,3
4065134,2
4067729,3
4074167,3
4095935,3
4105547,3
4114130,3
4119783,2
4122649,2
4136413,3
4142114,1
4143060,2
4144073,2
4158420,3
4158960,3
4176299,3
4186801,3
4194577,3
4200501,3
4202247,3
4205649,3
4218643,2
4224027,3
4226986,2
4231781,3
4236108,3
4241951,3
4248398,3
4251179,1
4251337,3
4251364,3
4253230,1
4262326,2
4280355,2
4285895,2
4287234,3
4289570,2
4291040,2
4291047,2
4292528,3
4301807,3
4301822,3
4302660,3
4309691,3
4310063,2
4310210,3
4310799,3
4311658,1
4312210,3
4312450,3
4313283,2
4313307,2
4314202,3
4316851,2
4318401,3
4319178,3
4319536,2
4319585,2
4319991,2
4320177,2
4324847,1
4325230,3
4327091,3
4327865,3
4328691,3
4328771,3
4329111,3
4329178,2
4331384,3
4335350,3
4335867,3
4338053,2
4338133,2
4342615,3
4344564,1
4345414,2
4353461,2
4353577,3
4353629,3
4356713,3
4357474,2
4358194,1
4359204,3
4359277,3
4366004,3
4367429,3
4368665,2
4368763,2
4368845,3
4369981,3
4370616,2
4372616,3
4376246,2
4376949,2
4377390,2
4378685,2
4382635,2
4386489,3
4387711,3
4388560,3
4388575,3
4388661,3
4391984,2
4392216,2
4393233,2
4396439,3
4396623,1
4396777,2
4401722,2
4402069,3
4417009,1
4434866,2
4101044,3
4096250,3
5137750,3
5135547,3
5114453,2
5111248,3
5097191,3
5095819,3
5084578,3
5077868,1
5077203,2
5069372,2
5050247,2
5050919,3
5040352,2
5038873,3
4993737,2
4995660,2
4991579,3
4988660,3
4987190,3
4978062,2
4958048,3
4951074,2
4930893,1
4928776,3
4910567,2
4911603,3
4910366,2
4907103,1
4903717,2
4902493,3
4897490,3
4897683,3
4894261,3
4893769,3
4891517,3
4891378,3
4878799,3
4876894,2
4864705,3
4860218,3
4855779,3
4851852,1
4845794,1
4844450,3
4841950,1
4834272,3
4791274,2
4792350,3
4772172,3
4766078,3
4767107,3
4755562,3
4748912,2
4748919,2
4745609,2
4732563,3
4734236,2
4733614,3
4730603,3
4717278,1
4709036,3
4711059,3
4686321,2
4685071,3
4679963,2
4676191,1
4677542,2
4669365,3
4670549,2
4661676,3
4661521,3
4661077,2
4641373,1
4634757,3
4618783,2
4590996,3
4579080,3
4576411,1
4573338,3
4572300,3
4569668,1
4568358,2
4559311,3
4544650,3
4536903,3
4536878,2
4530954,3
4523328,2
4520935,1
4518852,3
4511957,2
4497810,3
4505460,3
4487893,1
4463684,2
4484615,2
4459547,3
4439010,3
4425831,2
4419649,3
4405457,1
4395183,3
4396416,3
4319162,3
5194111,1
5191015,2
5191148,2
5176085,3
5163629,2
